	belief	argument	label	gold_graph	id	linked_paths	generated_graph_linked	generated_graph_gold	retrieved_graph
387	The best way to produce less expensive food in large quantities is factory farming.	Meat is important for nutrition and needs to be available.	support	[['meat', 'created by', 'factory farming'], ['factory farming', 'used for', 'growing populations'], ['growing populations', 'desires', 'nutrition'], ['nutrition', 'not desires', 'expensive food'], ['expensive food', 'not used for', 'the masses'], ['the masses', 'desires', 'large quantities']]	1267	[['meat', 'atlocation', 'food'], ['food', 'isa', 'good'], ['good', 'distinctfrom', 'best']]	[['meat', 'hasproperty', '', '_distinctfrom', 'best']]	[['meat', 'hasa', 'large quantities']]	[['expensive', '_distinctfrom', 'sale'], ['sale', '_usedfor', 'meat']]
37	Algorithms for trading are a positive.	Algorithms for trading have high accuracy.	support	[['algorithms for trading', 'capable of', 'high accuracy'], ['algorithms for trading', 'is a', 'automated'], ['high accuracy', 'is a', 'positive']]	917	[['accuracy', 'isa', 'disposition'], ['disposition', 'hascontext', 'legal'], ['legal', '_hascontext', 'arb'], ['arb', 'hascontext', 'trading']]	[['accuracy', 'hascontext', 'trading']]	[['algorithms for trading', '_isa', 'stocks'], ['stocks', 'hasproperty', '', '_distinctfrom', 'positive']]	[['trading', '_hascontext', 'job'], ['job', 'hascontext', 'slang'], ['slang', '_hascontext', 'suck'], ['suck', '_distinctfrom', 'blow'], ['blow', 'distinctfrom', 'high']]
1336	Homeopathic medicines are likely to be completely harmless.	Homeopathic medicines are often produced with very little governmental oversight.	counter	[['alternative medicines', 'has property', 'little governmental oversight'], ['little governmental oversight', 'causes', 'lack of safety'], ['lack of safety', 'capable of', 'harm'], ['harm', 'antonym of', 'harmless'], ['homeopathic medicines', 'part of', 'alternative medicines']]	2216	[['oversight', 'hascontext', 'nonstandard'], ['nonstandard', '_hascontext', 'amphetamine'], ['amphetamine', 'hascontext', 'medicine']]	[['oversight', 'hascontext', 'medicine']]	[['alternative medicines', '_isa', 'alternative medicines']]	[['completely', 'hascontext', 'degree'], ['degree', '_hascontext', 'death'], ['death', 'atlocation', 'hospital'], ['hospital', '_atlocation', 'medicines']]
2004	A multi-party system is good.	More parties means less chance we'd all agree on something.	counter	[['multi-party system', 'has context', 'more parties'], ['more parties', 'not capable of', 'agree'], ['agree', 'has context', 'less chance'], ['less chance', 'not capable of', 'good'], ['more parties', 'part of', 'system']]	2884	[['parties', 'hasproperty', 'fun'], ['fun', 'hasproperty', 'good']]	[['parties', 'hasproperty', 'good']]	[['multi-party system', 'isa', 'system']]	[['system', '_atlocation', 'organ'], ['organ', 'usedfor', 'play'], ['play', 'motivatedbygoal', 'fun'], ['fun', '_hasproperty', 'parties']]
466	Scientology is not real and should not be allowed.	Scientology is an important religion to practice.	counter	[['scientology', 'has context', 'celebrities and influencers'], ['celebrities and influencers', 'part of', 'religion'], ['religion', 'is a', 'choice'], ['choice', 'desires', 'be allowed']]	1346	[['religion', 'hascontext', 'group'], ['group', 'isa', 'organisation'], ['organisation', '_isa', 'scientology']]	[['religion', '_isa', 'scientology']]	[['scientology', '_hascontext', 'be allowed']]	[['scientology', 'isa', 'organisation'], ['organisation', '_isa', 'group'], ['group', '_hascontext', 'religion']]
2240	It would be dangerous to legalize prostitution because it would cause the trafficking of underage people.	Adult women have a right to make money however they want.	counter	[['people', 'desires', 'make money'], ['make money', 'has context', 'however they want'], ['prostitution', 'part of', 'however they want'], ['adult women', 'part of', 'people']]	3120	[['adult', 'capableof', 'work'], ['work', '_hasprerequisite', 'get_money_from'], ['get_money_from', 'hassubevent', 'prostitution']]	[['adult', '_distinctfrom', 'child'], ['child', 'usedfor', 'prostitution']]	[['people', '_isa', 'people']]	[['prostitution', '_hassubevent', 'get_money_from'], ['get_money_from', 'hasprerequisite', 'work'], ['work', '_capableof', 'adult']]
1908	Banning surrogacy impedes income.	Surrogacy is too dangerous for women for it to be considered profitable.	counter	[['surrogacy', 'capable of', 'dangerous'], ['dangerous', 'desires', 'banning'], ['dangerous', 'not used for', 'profitable']]	2788	[['dangerousest', 'hascontext', 'nonstandard'], ['nonstandard', '_hascontext', 'manumation'], ['manumation', 'hascontext', 'business'], ['business', '_hascontext', 'income']]	[['dangerousest', '_hasproperty', 'income']]	[['surrogacy', 'hascontext', 'business'], ['business', 'hasproperty', 'profitable']]	-1
773	Private military companies don't focus enough on protection.	Private military companies determine their own use without answering to the public.	support	[['private military companies', 'desires', 'profit'], ['profit', 'not capable of', 'protection'], ['protection', 'used for', 'the public']]	1653	[['public', 'distinctfrom', 'private'], ['private', 'hascontext', 'us'], ['us', 'hasa', 'military']]	[['public', 'hascontext', 'military']]	[['private military companies', '_hasa', '', '_atlocation', 'public library'], ['public library', 'usedfor', 'public']]	[['private', 'hascontext', 'us'], ['us', 'hasa', 'military']]
359	Entrapment isn't honest itself, so it shouldn't be used to keep other people honest.	Criminals deserve to be caught no matter what.	counter	[['criminals', 'receives action', 'caught'], ['entrapment', 'used for', 'criminals'], ['criminals', 'not has context', 'honest']]	3606	[['criminals', 'isa', 'people'], ['people', 'hasproperty', 'honest']]	[['criminals', 'hasproperty', 'honest']]	[['criminals', 'hasproperty', 'honest']]	[['entrapment', 'hascontext', 'legal'], ['legal', '_hascontext', 'free'], ['free', 'distinctfrom', 'caught']]
279	Intelligence tests are overall negative	Intelligence tests could make students want to try harder	counter	[['intelligence tests', 'capable of', 'boosting student morale'], ['boosting student morale', 'capable of', 'try harder'], ['try harder', 'used for', 'achieving'], ['try harder', 'is not a', 'overall negative']]	1159	[['student', 'isa', 'learning'], ['learning', 'causes', 'intelligence']]	[['student', '_isa', 'jim'], ['jim', 'hasproperty', '', '_distinctfrom', 'intelligence']]	[['intelligence tests', '_usedfor', 'taking midterm'], ['taking midterm', 'causes', 'grade'], ['grade', 'hascontext', 'overall negative']]	[['intelligence', '_hasprerequisite', 'debating_politics'], ['debating_politics', 'usedfor', 'students']]
289	We need to subsidize stem cell research.	Subsidized stem cell research will be prohibitively expensive in practice.	counter	[['stem cell research', 'has property', 'prohibitively expensive'], ['prohibitively expensive', 'receives action', 'subsidized'], ['subsidized', 'causes', 'still very expensive'], ['still very expensive', 'has property', 'not worthwhile'], ['subsidized', 'synonym of', 'subsidize']]	3536	[['expensive', '_causes', 'being_involved_in_accident'], ['being_involved_in_accident', 'hassubevent', 'bleeding'], ['bleeding', 'hascontext', 'medicine'], ['medicine', '_hascontext', 'stem_cell']]	[['expensive', '_hasproperty', '', '_isa', 'stem cell']]	[['stem cell research', 'isa', '', '_hascontext', 'subsidy']]	[['cell', 'hascontext', 'biology'], ['biology', 'isa', 'science'], ['science', 'usedfor', 'research']]
403	This is a great way to keep in contact with friends and family.	There are those who feel like this is a great way to keep in touch with friends and family.	support	[['friends and family', 'at location', 'long distance'], ['long distance', 'receives action', 'keep in contact'], ['keep in contact', 'part of', 'keep in touch']]	1283	[['touch', 'hassubevent', 'get_excited'], ['get_excited', '_hassubevent', 'playing_game_with_friends'], ['playing_game_with_friends', 'hasprerequisite', 'contact_with']]	[['touch', 'isa', 'contact with']]	[['friends and family', '_usedfor', 'mailing letter'], ['mailing letter', 'hassubevent', 'keep in touch']]	[['friends', 'atlocation', 'movie'], ['movie', 'capableof', 'touch']]
333	Social media is not reliable for news.	Many people post fake news on social media.	support	[['social media', 'used for', 'advertising income'], ['advertising income', 'created by', 'fake news'], ['social media', 'causes', 'people share rumors'], ['people share rumors', 'has subevent', 'fake news'], ['fake news', 'not has property', 'reliable']]	1213	[['fake', '_hasprerequisite', 'pretend'], ['pretend', 'motivatedbygoal', 'fun'], ['fun', '_hasproperty', 'news']]	[['fake', '_distinctfrom', '', '_isa', 'news']]	[['social media', '_hascontext', 'reliable']]	[['media', '_partof', 'news']]
90	Studies have shown that cannabis is a gateway drug, and that cannabis users end up using stronger drugs, like opioids, cocaine, and heroin.	Cannabis is cheaper and easier to start with	support	[['cannabis', 'is a', 'cheaper and easier'], ['cheaper and easier', 'capable of', 'gateway drug'], ['gateway drug', 'capable of', 'escalation'], ['escalation', 'capable of', 'stronger drugs'], ['stronger drugs', 'capable of', 'addiction']]	970	[['easier', '_motivatedbygoal', 'satisfy_appetites_with_minimum_effort'], ['satisfy_appetites_with_minimum_effort', 'hassubevent', 'relaxation'], ['relaxation', '_usedfor', 'garden'], ['garden', '_atlocation', 'cannabis']]	[['easier', '_distinctfrom', '', '_hasproperty', 'cannabis']]	[['cannabis', '_hasprerequisite', 'smoking'], ['smoking', 'causes', 'addiction']]	[['users', 'capableof', 'train_open_mind'], ['train_open_mind', '_hassubevent', 'use_computer'], ['use_computer', '_hassubevent', 'learning_about_world'], ['learning_about_world', 'causes', 'pleasure'], ['pleasure', '_usedfor', 'cannabis']]
34	Marriage offers certain protection and privileges rather than dating do not.	Marriage certainly offers more security and privileges than dating.	support	[['marriage', 'capable of', 'security and privileges'], ['dating', 'not capable of', 'security and privileges'], ['security and privileges', 'synonym of', 'protection']]	3281	[['security', '_motivatedbygoal', 'buy_products'], ['buy_products', 'motivatedbygoal', 'love'], ['love', 'atlocation', 'marriage']]	[['security', '_usedfor', 'getting divorce'], ['getting divorce', 'hasprerequisite', 'marriage']]	[['marriage', '_causes', 'copulating'], ['copulating', 'usedfor', 'protection']]	[['dating', 'causes', 'marriage']]
407	Social media is beneficial	Social media is a bad way to keep people apart.	counter	[['social media', 'has property', 'digital'], ['digital', 'capable of', 'laziness'], ['laziness', 'causes', 'keep people apart'], ['keep people apart', 'is not a', 'beneficial']]	1287	[['people', 'desires', 'social']]	[['people', '_usedfor', 'social']]	[['social media', '_hascontext', 'benefiticial']]	[['social', '_desires', 'people']]
1301	Burning the flag is offensive to many people	Flag burning is unpatriotic, and signifies hatred of one's country.	support	[['burning the flag', 'has context', 'insulting'], ['insulting', 'has context', 'offensive'], ['flag burning', 'has context', 'unpatriotic'], ['unpatriotic', 'has context', 'offensive']]	2181	[['hatred', 'atlocation', 'war'], ['war', '_atlocation', 'country'], ['country', '_atlocation', 'flag']]	[['hatred', '_causes', 'killing people'], ['killing people', 'hasprerequisite', 'flag']]	[['burning the flag', 'hasproperty', 'offensive']]	[['flag', 'atlocation', 'country'], ['country', 'atlocation', 'war'], ['war', '_atlocation', 'hatred']]
2332	Some people are just politically Apathetic	Everyone should participate in politics to ensure good governance	counter	[['everyone', 'desires', 'participate in politics'], ['participate in politics', 'is not a', 'politically apathetic'], ['participate in politics', 'capable of', 'ensure good governance'], ['some people', 'part of', 'everyone']]	3212	[['politics', '_isa', 'casting_vote'], ['casting_vote', '_causes', 'preparing_for_vote'], ['preparing_for_vote', 'usedfor', 'politically']]	[['politics', '_hascontext', 'politically']]	[['everyone', '_distinctfrom', 'everyone']]	[['politically', '_usedfor', 'preparing_for_vote'], ['preparing_for_vote', 'causes', 'casting_vote'], ['casting_vote', 'isa', 'politics']]
2333	If whaling is outlawed a black market will start up and cause more harm.	Whaling is damaging to whales and should therefore be outlawed.	counter	[['whaling', 'is a', 'damaging'], ['damaging', 'desires', 'outlawed'], ['whales', 'receives action', 'whaling']]	3213	[['whales', 'atlocation', 'aquarium'], ['aquarium', '_atlocation', 'fish'], ['fish', 'atlocation', 'market']]	[['whales', 'atlocation', 'market']]	[['whaling', '_isa', 'whaling']]	[['whaling', 'isa', 'hunting'], ['hunting', '_usedfor', 'land'], ['land', 'atlocation', 'ocean'], ['ocean', '_atlocation', 'whales']]
2305	Using a private military company isn't any different than buying weapons or vehicles from private companies.	The meaning of private doesn't vary.	support	"[['government', 'capable of', 'buying weapons'], ['buying weapons', 'created by', 'private companies'], ['government', 'capable of', 'contracting out services'], ['contracting out services', 'has subevent', 'private military company'], ['private companies', 'has property', 'private'], ['private military company', 'has property', 'private'], ['private', 'has context', ""doesn't vary""]]"	3185	[['meaning', '_desires', 'person'], ['person', 'isa', 'military'], ['military', '_hascontext', 'troop'], ['troop', 'isa', 'military_company']]	[['meaning', '_hasa', '', '_usedfor', '', '_isa', 'military company']]	[['government', '_hascontext', 'does not vary']]	[['military', '_hasa', 'us'], ['us', '_hascontext', 'private']]
329	Factory farming should be banned.	Factory farming should not be banned.	counter	[['factory farming', 'capable of', 'low cost food'], ['families', 'desires', 'low cost food'], ['low cost food', 'not desires', 'be banned']]	1209	[]	[]	[['factory farming', 'isa', '', '_hascontext', 'be banned']]	[['factory', '_isa', 'artifact'], ['artifact', 'usedfor', 'contact'], ['contact', '_entails', 'farming']]
1250	Abolishing mandatory retirement will benefit society.	Abolishing mandatory retirement will reduce citizens' dependence on the state.	support	"[['abolishing mandatory retirement', 'capable of', 'reduction'], ['reduction', 'used for', ""citizens' dependence""], [""citizens' dependence"", 'capable of', 'benefit society']]"	2130	[['reduce', 'hascontext', 'legal'], ['legal', '_hascontext', 'equity'], ['equity', '_causes', 'investing_money_or_energy'], ['investing_money_or_energy', 'usedfor', 'retirement']]	[['reduce', '_distinctfrom', '', '_causes', 'investing money or energy'], ['investing money or energy', 'usedfor', 'retirement']]	[['abolishing mandatory retirement', '_usedfor', 'getting job'], ['getting job', 'causes', '', '_hassubevent', 'benefit society']]	[['retirement', '_usedfor', 'investing_money_or_energy'], ['investing_money_or_energy', 'usedfor', 'helping_others'], ['helping_others', '_causes', 'giving_assistance'], ['giving_assistance', 'causes', 'dependence']]
1329	Capital punishment is bad.	Plenty of innocent people already die in our prison system.	support	[['many innocent people', 'receives action', 'already die'], ['already die', 'at location', 'our prison system'], ['capital punishment', 'is a', 'killing criminals'], ['our prison system', 'causes', 'killing criminals'], ['killing criminals', 'is a', 'bad']]	2209	[['die', '_motivatedbygoal', 'kill'], ['kill', 'hassubevent', 'capital_punishment']]	[['die', '_causes', 'committing murder'], ['committing murder', 'usedfor', 'capital punishment']]	[['many innocent people', 'hasproperty', '', '_distinctfrom', 'crime'], ['crime', 'hasproperty', 'bad']]	[['punishment', '_causes', 'killing'], ['killing', 'hassubevent', 'die']]
1750	Public defenders can be harmful to your case, because they do not care sometimes	Public defenders have no incentive to try hard to win your case since you aren't paying them	support	[['not try hard', 'capable of', 'harmful'], ['public defenders', 'has property', 'paid by government'], ['not paid enough', 'has context', 'no incentive'], ['no incentive', 'causes', 'not try hard'], ['not try hard', 'part of', 'not care'], ['paid by government', 'has property', 'not paid enough']]	2630	[['win', '_distinctfrom', 'defeat'], ['defeat', 'hascontext', 'legal'], ['legal', '_hascontext', 'public_defender']]	[['win', '_hassubevent', 'playing basketball'], ['playing basketball', 'usedfor', 'public defender']]	[['not try hard', '_hasprerequisite', '', '_causesdesire', 'not enough paid enough']]	[['harmful', '_hasproperty', 'sunshine'], ['sunshine', 'hascontext', 'us'], ['us', '_hascontext', 'private'], ['private', '_distinctfrom', 'public']]
2257	Payday loans should not be banned.	Payday loans are targeted to the poor.	counter	[['payday loans', 'has property', 'high interest rates'], ['high interest rates', 'has context', 'exploitation'], ['exploitation', 'is a', 'bad'], ['bad', 'desires', 'banned'], ['payday loans', 'used for', 'the poor']]	3137	[['target', '_notdesires', 'person'], ['person', '_isa', 'banker'], ['banker', 'usedfor', 'loan']]	[['target', '_isa', 'loan']]	[['payday loans', '_usedfor', 'cheque book'], ['cheque book', 'atlocation', 'poor']]	-1
988	Changing unborn child gender is cheating the nature	Altering unborn baby gender is against nature	support	[['gender', 'not desires', 'altering'], ['altering', 'synonym of', 'changing'], ['altering', 'capable of', 'against nature']]	1868	[['baby', '_capableof', 'people'], ['people', 'hasproperty', 'male_or_female'], ['male_or_female', '_hasproperty', 'gender']]	[['baby', '_isa', 'transgender'], ['transgender', 'hascontext', 'gender']]	[['gender', '_isa', '', '_hasproperty', 'against nature']]	[['gender', 'hasproperty', 'male_or_female'], ['male_or_female', '_hasproperty', 'people'], ['people', 'capableof', 'baby']]
2275	Payday loans help people in need.	Payday loans charge high rates.	counter	[['payday loans', 'has property', 'charge high rates'], ['charge high rates', 'has context', 'exploitation'], ['people in need', 'not desires', 'exploitation']]	3155	[['rates', '_hascontext', 'nineties'], ['nineties', 'hascontext', 'almost_always'], ['almost_always', '_isa', 'movies'], ['movies', '_atlocation', 'candy'], ['candy', '_isa', 'payday']]	[['rates', '_hascontext', 'payday']]	[['payday loans', '_usedfor', 'getting money from'], ['getting money from', 'causes', 'robbery'], ['robbery', 'isa', 'exploitation']]	[['people', '_isa', 'customers'], ['customers', 'capableof', 'spend_money'], ['spend_money', '_causesdesire', 'payday']]
2319	missionary workers are the only people who benefit from it.	The only beneficiaries from the missionary work are the missionaries themselves.	support	[['missionaries', 'synonym of', 'missionary workers'], ['missionaries', 'part of', 'missionary work'], ['missionary work', 'capable of', 'benefit missionaries'], ['missionary work', 'not capable of', 'benefit others'], ['people', 'is a', 'missionaries']]	3199	[['work', '_atlocation', 'worker'], ['worker', '_isa', 'missionary']]	[['work', '_hasprerequisite', 'earn living'], ['earn living', 'motivatedbygoal', '', '_capableof', 'missionary']]	[['missionaries', '_isa', 'missionaries']]	[['missionary', 'isa', 'worker'], ['worker', 'atlocation', 'work']]
1090	Surrogacy is an act rendering help to those who cannot give birth	Surrogacy is like cheating the law of natural order	counter	[['surrogacy', 'has property', 'immoral'], ['immoral', 'created by', 'cheating the law'], ['cheating the law', 'not part of', 'rendering help']]	1970	[['order', '_partof', 'family'], ['family', '_causes', 'reproducing'], ['reproducing', 'causes', 'birth']]	[['order', '_isa', 'birth']]	[['surrogacy', 'hascontext', 'law'], ['law', 'isa', '', '_causes', 'rendering help']]	[['birth', '_createdby', 'child'], ['child', 'isa', 'person'], ['person', 'isa', 'law']]
889	Pride parade is a freedom of expression of equal right	pride parade allows for expression of beliefs and rights of individual of what they are and who they can be	support	[['pride parade', 'part of', 'rights'], ['rights', 'created by', 'freedom of expression'], ['freedom of expression', 'used for', 'individual'], ['individual', 'capable of', 'equal right']]	1769	[['rights', '_hasa', 'people'], ['people', '_hasprerequisite', 'celebrating'], ['celebrating', '_isa', 'parade']]	[['rights', '_hasa', 'everyone'], ['everyone', 'atlocation', 'parade']]	[['pride parade', '_atlocation', 'equality for everyone'], ['equality for everyone', 'capableof', 'equal right']]	[['parade', 'isa', 'celebrating'], ['celebrating', 'hasprerequisite', 'people'], ['people', 'hasa', 'rights']]
1152	Child actors should be banned.	Children are still developing and should not make decisions that could hinder their growth.	support	[['child actors', 'part of', 'minors'], ['minors', 'has property', 'still developing'], ['still developing', 'not capable of', 'making decisions'], ['making decisions', 'capable of', 'hinder their growth'], ['hinder their growth', 'receives action', 'banned']]	2032	[['children', 'desires', 'pretend'], ['pretend', '_capableof', 'actor']]	[['children', '_usedfor', 'playing violin'], ['playing violin', 'causes', 'singing _occupation actor']]	[['child actors', '_usedfor', 'doll'], ['doll', 'distinctfrom', 'person'], ['person', 'notdesires', 'banned']]	[['actors', 'atlocation', 'movies'], ['movies', 'capableof', 'tell_stories'], ['tell_stories', '_capableof', 'children']]
1551	I only support things which are right.	I support that the sun does not rise from the west.	support	[['i', 'capable of', 'believe'], ['support things', 'has property', 'correct'], ['correct', 'synonym of', 'right'], ['support things', 'has context', 'sun'], ['sun', 'not capable of', 'rise from west'], ['believe', 'synonym of', 'support things']]	2431	[['sun', 'atlocation', 'universe'], ['universe', '_atlocation', 'person'], ['person', 'desires', 'support']]	[['sun', 'distinctfrom', '', '_usedfor', '', '_atlocation', 'support']]	[['i', 'hascontext', 'computers'], ['computers', 'capableof', 'support things']]	[['support', '_desires', 'person'], ['person', 'atlocation', 'universe'], ['universe', '_atlocation', 'sun']]
1473	computer algorithmic trading is not reliable.	Computer algorithmic trading gives some people an advantage.	counter	[['computer algorithmic trading', 'has property', 'an advantage'], ['an advantage', 'causes', 'make money'], ['people', 'desires', 'make money'], ['make money', 'created by', 'working properly'], ['working properly', 'is a', 'reliable']]	2353	[['advantage', 'hascontext', 'soccer'], ['soccer', 'isa', 'fun'], ['fun', '_usedfor', 'getting_onto_web'], ['getting_onto_web', 'usedfor', 'trading']]	[['advantage', 'hascontext', 'trading']]	[['computer algorithmic trading', 'isa', 'trading'], ['trading', 'hasproperty', 'reliable']]	[['trading', '_usedfor', 'getting_onto_web'], ['getting_onto_web', 'hasprerequisite', 'computer']]
198	Cloning humans is dangerous and can lead to widespread diseases	Many scientists believe that cloning humans will lead to cures for many current diseases	counter	[['cloning humans', 'used for', 'medical treatments'], ['medical treatments', 'capable of', 'cures'], ['cures', 'used for', 'widespread diseases'], ['widespread diseases', 'part of', 'current diseases']]	3445	[['scientists', '_isa', 'people'], ['people', 'hasproperty', 'dangerous']]	[['scientists', '_isa', 'scientists'], ['scientists', 'hasproperty', 'dangerous']]	[['cloning humans', '_usedfor', 'cloning'], ['cloning', 'isa', 'current diseases']]	[['cloning', 'isa', 'human_activity'], ['human_activity', '_isa', 'murder'], ['murder', '_hasprerequisite', 'kill'], ['kill', '_capableof', 'diseases']]
1275	Assisted suicide is murder and should be illegal.	Assisted suicide is murder because you are actually killing someone if you help.	support	[['assisted suicide', 'used for', 'killing people'], ['killing people', 'has subevent', 'illegal'], ['killing people', 'synonym of', 'killing someone']]	2155	[['kill', 'hasprerequisite', 'murder'], ['murder', 'hasproperty', 'illegal']]	[['kill', '_capableof', 'illegal']]	[['assisted suicide', 'isa', '', '_causes', 'killing someone']]	[['suicide', 'isa', 'killing']]
328	Guantanamo bay should not be closed down.	Guantanamo bay is notorious for its use of torture.	counter	[['guantanamo bay', 'is a', 'prison'], ['prison', 'capable of', 'use of torture'], ['use of torture', 'is a', 'bad'], ['bad', 'desires', 'be closed down']]	3575	[['torture', '_capableof', 'human'], ['human', 'atlocation', 'shopping_mall'], ['shopping_mall', 'receivesaction', 'closed']]	[['torture', '_usedfor', 'knife'], ['knife', 'receivesaction', 'closed']]	[['guantanamo bay', 'isa', 'prison'], ['prison', 'capableof', 'be closed down']]	[['closed', 'hascontext', 'mathematics'], ['mathematics', '_isa', 'person'], ['person', '_isa', 'osama_bin_laden'], ['osama_bin_laden', 'hasproperty', 'notorious']]
1191	When we subsidize stay at home Dads they tend to be more productive	stay at home Dads will be happy when they are supported, they will invest and help themselves and the country	support	[['stay home dads', 'capable of', 'be more productive'], ['be more productive', 'created by', 'subsidy'], ['subsidy', 'causes', 'happy'], ['happy', 'used for', 'dads']]	2071	[['support', '_desires', 'person'], ['person', '_isa', 'dad']]	[['support', '_usedfor', '', '_distinctfrom', 'dad']]	[['stay home dads', '_capableof', 'dads']]	[['productive', '_distinctfrom', 'lazy'], ['lazy', 'hascontext', 'uk'], ['uk', '_hascontext', 'home']]
587	There is no harsh punishment when it comes to minors for zero-tolerance.	Minors do not have zero-tolerance when it involves being punished.	support	[['minors', 'capable of', 'being punished'], ['being punished', 'not capable of', 'harsh'], ['zero-tolerance', 'not desires', 'being punished']]	1467	[['punished', '_notdesires', 'person'], ['person', 'hasproperty', 'one'], ['one', '_partof', 'zero']]	[['punished', '_receivesaction', 'people'], ['people', 'hasproperty', '', '_distinctfrom', 'zero']]	[['minors', '_isa', '', '_usedfor', 'punishing'], ['punishing', 'causes', 'being punished']]	-1
338	social media networks are terrible for society.	Social media networks are isolating.	support	[['social media networks', 'capable of', 'isolating'], ['isolating', 'is a', 'terrible for society'], ['social media networks', 'capable of', 'creating a facade']]	1218	[['isolating', 'isa', 'situation'], ['situation', '_isa', 'smoking_cigarette'], ['smoking_cigarette', '_hassubevent', 'getting_in_line'], ['getting_in_line', 'causes', 'terrible']]	[['isolating', '_usedfor', 'door with lock'], ['door with lock', 'hasproperty', 'terrible']]	[['social media networks', '_atlocation', '', '_causes', 'creating story'], ['creating story', 'usedfor', 'creating a facade']]	[['social', 'hascontext', 'internet'], ['internet', 'hasa', 'connection'], ['connection', 'usedfor', 'networks']]
2027	legalised sex selection causes biases among genders	sex selection has it advantages too	counter	[['sex selection', 'used for', 'gender specific disorders'], ['gender specific disorders', 'capable of', 'avoiding disorders'], ['avoiding disorders', 'is a', 'advantages'], ['advantages', 'is a', 'good'], ['good', 'desires', 'legalised']]	2907	[['advantages', '_desires', 'person'], ['person', 'isa', 'biology'], ['biology', '_hascontext', 'biosex'], ['biosex', 'hascontext', 'gender']]	[['advantages', '_usedfor', 'gender']]	[['sex selection', 'hascontext', 'legalised']]	[['sex', 'hasproperty', 'fun'], ['fun', '_hasproperty', 'acid'], ['acid', 'hascontext', 'databases'], ['databases', '_hascontext', 'selection']]
435	factory farming should not be banned.	Factory farming feeds the world.	support	[['factory farming', 'used for', 'provision of food'], ['provision of food', 'used for', 'feeds the world'], ['feeds the world', 'not receives action', 'banned']]	1315	[['feed', '_hassubevent', 'entertain_people'], ['entertain_people', '_causesdesire', 'talent'], ['talent', '_hasprerequisite', 'performing'], ['performing', 'causes', 'action'], ['action', '_isa', 'ban']]	[['feed', '_usedfor', '', '_isa', 'ban']]	[['factory farming', 'isa', '', '_hascontext', 'banjo'], ['banjo', 'nothasproperty', 'banned']]	[['factory', '_isa', 'artifact'], ['artifact', 'usedfor', 'contact'], ['contact', '_entails', 'farming']]
1758	If everyone has to use a public defender, it makes things more equal for those who can't afford a high paying attorney	Anyone who can afford it, has the right to any defender they choose	counter	"[['can afford', 'used for', 'any defender'], ['any defender', 'capable of', 'high paying attorney'], ['can afford', 'used for', 'high paying attorney'], ['can afford', 'antonym of', ""can't afford""]]"	2638	[['right', 'hasproperty', 'common'], ['common', 'hascontext', 'legal'], ['legal', '_hascontext', 'public_defender']]	[['right', '_hasproperty', '', '_isa', 'public defender']]	[]	[['attorney', '_isa', 'prosecutor'], ['prosecutor', 'distinctfrom', 'defender']]
33	algorithmic trading should not be banned.	Algorithmic trading is used by many.	support	[['algorithmic trading', 'is a', 'automated'], ['algorithmic trading', 'is a', 'used by many'], ['used by many', 'synonym of', 'popular'], ['popular', 'not desires', 'banned']]	913	[['use', '_atlocation', 'basketball_court'], ['basketball_court', 'atlocation', 'city'], ['city', '_atlocation', 'market'], ['market', 'usedfor', 'trading']]	[['use', '_distinctfrom', 'want'], ['want', 'hascontext', 'trading']]	[['algorithmic trading', '_hascontext', 'bots'], ['bots', 'receivesaction', 'banned']]	[['algorithmic', 'hascontext', 'computing'], ['computing', '_hascontext', 'job'], ['job', 'hascontext', 'trading']]
427	Intelligence tests are harmless.	Intelligence tests lower self esteem.	counter	[['intelligence tests', 'capable of', 'lower self esteem'], ['lower self esteem', 'is a', 'damaging'], ['damaging', 'antonym of', 'harmless']]	1307	[['self_esteem', '_causes', 'improving_yourself'], ['improving_yourself', 'hassubevent', 'learning'], ['learning', 'causes', 'intelligence']]	[['self esteem', '_causes', 'improving yourself'], ['improving yourself', 'hasprerequisite', 'intelligence']]	[['intelligence tests', '_usedfor', 'answering questions'], ['answering questions', 'causes', 'less stress'], ['less stress', 'hasproperty', 'harmful']]	[['intelligence', 'atlocation', 'universe'], ['universe', '_atlocation', 'person'], ['person', '_atlocation', 'drop_of_blood'], ['drop_of_blood', 'usedfor', 'tests']]
113	Austerity would not be great for the economy.	Austerity would cripple citizens.	support	[['austerity', 'capable of', 'cripple citizens'], ['cripple citizens', 'causes', 'less spending'], ['less spending', 'not capable of', 'be great'], ['be great', 'has context', 'for the economy']]	3360	[['citizens', 'atlocation', 'country'], ['country', '_atlocation', 'capital'], ['capital', 'hascontext', 'economics'], ['economics', '_hascontext', 'austerity']]	[['citizens', '_usedfor', 'paying taxes'], ['paying taxes', 'hasprerequisite', '', '_isa', 'austerity']]	[['austerity', 'isa', '', '_hascontext', 'for for the economy']]	[['great', 'distinctfrom', 'good'], ['good', '_hasproperty', 'inflation'], ['inflation', 'hascontext', 'economics'], ['economics', '_hascontext', 'austerity']]
