	belief	argument	label	gold_graph	generated_graph	retrieved_graph
1359	Compulsory voting would ensure the government had a true mandate.	Compulsory voting would eliminate low voter turnout.	support	[['compulsory voting', 'capable of', 'everyone votes'], ['everyone votes', 'causes', 'true mandate'], ['everyone votes', 'not capable of', 'low voter turnout']]	[['compulsory voting _similarto absentee voting', '_isa', 'low voter turnout']]	[['government', '_notdesires', 'person'], ['person', 'capableof', 'voice_opinion'], ['voice_opinion', '_capableof', 'voter']]
1081	People need to be responsible for their own education.	No 18 year old can afford to go to college.	counter	[['people', 'part of', '18 year old'], ['18 year old', 'not capable of', 'funding'], ['funding', 'part of', 'afford'], ['afford', 'used for', 'their own education']]	[['people', 'hasa', '', '_isa', 'ours own education']]	[['responsible', '_motivatedbygoal', 'in_charge_of_project'], ['in_charge_of_project', 'motivatedbygoal', 'money'], ['money', '_isa', 'time'], ['time', '_isa', 'year']]
1438	Watching television lets you get current information from home.	Television has programs like news and documentaries that give information about the world around you.	support	[['watching television', 'capable of', 'stay informed'], ['current information', 'part of', 'stay informed'], ['television', 'capable of', 'give information'], ['give information', 'has context', 'stay informed']]	[['watching television', 'hassubevent', 'stay informed']]	[['watching', '_usedfor', 'television'], ['television', '_atlocation', 'news']]
1079	Abolishing capital punishment is cruel for the victims of crime.	Forcing victims to pay for the criminals' life imprisonment via taxes is cruel.	support	[['abolishing capital punishment', 'has subevent', 'no closure'], ['no closure', 'not created by', 'victims of crime'], ['taxes', 'used for', 'life imprisonment'], ['taxes', 'part of', 'victims of crime']]	[['abolishing capital punishment', '_usedfor', 'passing sentence'], ['passing sentence', 'causes', 'victims of crime']]	[['cruel', '_hasproperty', 'people'], ['people', 'capableof', 'kill_people'], ['kill_people', 'hassubevent', 'imprisonment']]
2271	school uniforms are more productive for students.	school uniforms restrict people from wearing their own clothing	counter	[['school uniforms', 'has context', 'restrict people'], ['wearing their own', 'not used for', 'students'], ['restrict people', 'not causes', 'wearing their own']]	[['school uniforms', 'atlocation', 'school'], ['school', 'usedfor', 'wearing their own']]	[['uniforms', '_usedfor', 'hat'], ['hat', 'atlocation', 'closet'], ['closet', 'atlocation', 'school']]
655	Having public defenders for everyone would cost the states too much.	Public defenders cost less than private lawyers.	counter	[['public defenders', 'has property', 'less expensive'], ['less expensive', 'not capable of', 'cost the states'], ['cost the states', 'made of', 'private lawyers']]	[['public defenders', '_isa', 'private lawyers']]	[['states', 'hascontext', 'us'], ['us', '_hascontext', 'private'], ['private', '_distinctfrom', 'public']]
1701	social media helps effect real change in the world.	some violent movements are incited in social media.	counter	[['social media', 'capable of', 'violent movements'], ['the world', 'not desires', 'violent movements'], ['social media', 'is a', 'negative'], ['negative', 'not capable of', 'real change']]	[['social media', '_hascontext', '', '_causes', 'changing society'], ['changing society', 'hassubevent', 'real change']]	[['media', '_hascontext', 'css'], ['css', 'hascontext', 'sports'], ['sports', 'hasproperty', 'violent']]
381	third parties such as libertarianism should not participate in elections as they don't have impact.	libertarianism can have an effect in the elections and therefore they should participate.	counter	[['libertarianism', 'is a', 'political party'], ['political party', 'capable of', 'participating'], ['participating', 'used for', 'elections']]	[['libertarianism', 'hascontext', '', '_isa', 'elections']]	[['libertarianism', 'hascontext', 'politics'], ['politics', 'causesdesire', 'wage_war'], ['wage_war', 'hassubevent', 'death'], ['death', 'capableof', 'last_forever'], ['last_forever', '_capableof', 'elections']]
1878	Gender should be acknowledged.	Not acknowledging somebody's gender would be rude and ignoring a vital part of who they are.	support	[['gender', 'has context', 'vital part'], ['vital part', 'desires', 'acknowledged'], ['gender', 'has property', 'who they are']]	[['gender', '_isa', '', '_hasproperty', 'who they are']]	[['gender', 'hasproperty', 'male_or_female'], ['male_or_female', '_hasproperty', 'people'], ['people', 'hasproperty', 'rude']]
338	Cloning has many medical benefits and should not be banned	Cloning is unnatural and goes against what is morally right, so it should be illegal	counter	[['cloning', 'is a', 'unnatural'], ['unnatural', 'desires', 'banned'], ['unnatural', 'not capable of', 'medical benefits']]	[['cloning', 'isa', 'medical benefits']]	[['cloning', 'isa', 'human_activity'], ['human_activity', '_isa', 'murder'], ['murder', 'hasproperty', 'illegal']]
1654	people should be able to use their own individual judgement and exercise political freedom	political freedom is exercised differently  by everyone	support	[['political freedom', 'has subevent', 'differently by everyone'], ['differently by everyone', 'part of', 'individual judgement'], ['everyone', 'desires', 'political freedom'], ['political freedom', 'used for', 'politically active citizens']]	[['political freedom', '_desires', 'person'], ['person', 'notdesires', 'politically active citizens']]	[['judgement', '_notdesires', 'person'], ['person', '_isa', 'art'], ['art', '_hascontext', 'acclamation'], ['acclamation', 'hascontext', 'political']]
2255	If people get three strikes, they may use it to their advantage to commit extra crimes before getting to three.	Three strikes gives you three chances before going to jail for a long time.	counter	[['three strikes', 'has context', 'three chances'], ['three chances', 'causes', 'going to jail'], ['three chances', 'used for', 'people']]	[['three strikes', 'hascontext', 'baseball'], ['baseball', 'usedfor', 'people']]	[['people', '_isa', 'criminals'], ['criminals', 'atlocation', 'jail']]
851	private military companies should not be banned.	Private military companies have shareholder's best interest.	support	"[['private military companies', 'capable of', ""shareholder's best interest""], ['private military companies', 'part of', 'society'], ['society', 'not desires', 'be banned']]"	[['private military companies', 'isa', 'companies'], ['companies', 'notcapableof', 'be banned']]	[['private', 'hascontext', 'us'], ['us', 'hasa', 'military']]
247	Marriage is beneficial to children since they can see examples of healthy relationships.	Marriages are indeed beneficial to children if, and only if, those relationships are healthy, which is a rare scenario nowadays.	counter	[['marriage', 'is a', 'union of people'], ['union of people', 'capable of', 'children'], ['healthy relationships', 'not part of', 'most marriages'], ['children', 'desires', 'healthy relationships'], ['healthy relationships', 'is a', 'benefital to chilren'], ['most marriages', 'is not a', 'benefital to chilren'], ['marriages', 'is a', 'union of people']]	[['marriage', '_atlocation', 'union of people']]	[['marriage', '_atlocation', 'companionship'], ['companionship', '_usedfor', 'having_friends_over'], ['having_friends_over', 'causes', 'children']]
1820	Creators' rights should be protected.	Nobody can claim to have an original idea, there are only so many things that can be created.	counter	"[[""creators' rights"", 'not has context', 'important'], ['important', 'not has context', 'should be protected'], ['original idea', 'is a', 'limited'], [""creators' rights"", 'not capable of', 'original idea'], ['limited', 'synonym of', 'only so many']]"	"[[""creators' rights"", 'hascontext', 'legal similarto rules'], ['legal similarto rules', 'hasproperty', 'only so many']]"	[['rights', '_desires', 'person'], ['person', 'desires', 'move'], ['move', '_distinctfrom', 'copy'], ['copy', 'distinctfrom', 'original']]
269	missionary help has been beneficial to people in poor countries.	people in poor countries need help from charities to survive.	support	[['missionary help', 'has subevent', 'help from charities'], ['help from charities', 'has property', 'beneficial to people'], ['beneficial to people', 'has context', 'need help'], ['to survive', 'at location', 'poor countries'], ['need help', 'used for', 'to survive']]	[['missionary help', 'atlocation', 'funeral'], ['funeral', 'causesdesire', 'live'], ['live', 'motivatedbygoal', 'to survive']]	[['missionary', 'isa', 'person'], ['person', '_hasa', 'people'], ['people', 'capableof', 'coming_in'], ['coming_in', '_capableof', 'donations'], ['donations', 'receivesaction', 'donated'], ['donated', '_receivesaction', 'charities']]
1352	sex selection should be banned.	Sex selection is unethical.	support	[['sex selection', 'has context', 'unnatural'], ['unnatural', 'has context', 'should be banned'], ['sex selection', 'has context', 'unethical'], ['unethical', 'has context', 'should be banned']]	[['sex selection', 'hascontext', '', '_isa', 'person'], ['person', 'notdesires', 'should be banned']]	[['sex', 'hasproperty', 'fun'], ['fun', '_hasproperty', 'acid'], ['acid', 'hascontext', 'databases'], ['databases', '_hascontext', 'selection']]
153	targeted killing does its job.	The world is not necessarily safer with targeted killing.	counter	[['targeted killing', 'used for', 'kill certain criminals'], ['kill certain criminals', 'not capable of', 'kill all criminals'], ['kill all criminals', 'causes', 'the world'], ['the world', 'is not a', 'necessarily safer'], ['necessarily safer', 'not capable of', 'does its job']]	[['targeted killing', 'isa', 'killing'], ['killing', 'hasprerequisite', 'does its job']]	[['killing', 'atlocation', 'war'], ['war', '_atlocation', 'country'], ['country', 'atlocation', 'world']]
1627	we would covered in crime if it wasn't	rules and law are what it keeps people in order.	support	[['rules and law', 'used for', 'people in order'], ['rules and law', 'not has subevent', 'covered in crime'], ['people in order', 'not has context', 'crime']]	[['rules and law', '_hasprerequisite', 'serving justice'], ['serving justice', 'causes', 'crime']]	[['crime', 'hascontext', 'criminal_law'], ['criminal_law', 'isa', 'law']]
152	Religious taxpayers will be offended if we use their money to finance this research.	The religious taxpayers will be offended if we fund this research with their money.	support	[['religious taxpayers', 'capable of', 'payment'], ['payment', 'not used for', 'finance'], ['finance', 'used for', 'research']]	[['religious taxpayers', '_usedfor', 'paying by check'], ['paying by check', 'hassubevent', 'research']]	[['religious', '_hascontext', 'fellowship'], ['fellowship', '_desires', 'person'], ['person', 'notdesires', 'offended']]
137	Cosmetic surgery is not helpful	People often change their minds	support	[['cosmetic surgery', 'used for', 'people'], ['people', 'capable of', 'changing'], ['changing', 'used for', 'minds'], ['minds', 'desires', 'surgery'], ['surgery', 'not capable of', 'helpful']]	[['cosmetic surgery', '_isa', 'plastic surgery'], ['plastic surgery', 'hasproperty', 'helpful']]	[['surgery', '_partof', 'act'], ['act', '_capableof', 'humans'], ['humans', 'hasa', 'minds']]
2098	Prayer in schools violates the separation of church and state.	Prayer is a personal decision	counter	[['prayer', 'is a', 'personal decision'], ['prayer', 'synonym of', 'worship'], ['worship', 'not capable of', 'violates'], ['violates', 'synonym of', 'infringes'], ['infringes', 'not has context', 'church and state']]	[['prayer', '_usedfor', 'church and state']]	[['separation', 'hascontext', 'legal'], ['legal', '_hascontext', 'town'], ['town', '_atlocation', 'church'], ['church', '_atlocation', 'prayer']]
476	do not ban the church of scientology	the church of scientology deserves representation	support	[['church of scientology', 'is a', 'beliefs'], ['beliefs', 'desires', 'representation'], ['representation', 'not receives action', 'ban']]	[['church of scientology', '_instanceof', 'ban']]	[['ban', 'isa', 'action'], ['action', 'hascontext', 'business'], ['business', '_hascontext', 'audit'], ['audit', 'hascontext', 'scientology']]
1001	Safe spaces are not always free and open.	Safe spaces are public areas dedicated to freedom of expression	counter	[['safe spaces', 'used for', 'people'], ['people', 'desires', 'freedom of expression'], ['freedom of expression', 'created by', 'public places'], ['public places', 'has property', 'free and open']]	[['safe spaces', '_isa', 'safe deposit boxes'], ['safe deposit boxes', 'atlocation', 'safe deposit box'], ['safe deposit box', 'hasproperty', 'free and open']]	[['free', '_notdesires', 'person'], ['person', 'desires', 'safe']]
509	People have the right to go it alone when needed.	People have the right to go it alone at any time.	support	[['go it alone', 'antonym of', 'cooperative effort'], ['cooperative effort', 'has context', 'choice'], ['choice', 'desires', 'individual response'], ['individual response', 'has context', 'solo'], ['go it alone', 'synonym of', 'solo'], ['solo', 'has context', 'when needed'], ['when needed', 'capable of', 'at any time']]	[['go it alone', '_hasprerequisite', 'meet friend'], ['meet friend', 'motivatedbygoal', 'at any time']]	-1
68	cannabis can alleviate pain and suffering if prescribed properly.	some people abuse the use of cannabis.	counter	[['cannabis', 'is a', 'drug'], ['drug', 'capable of', 'abuse'], ['cannabis', 'capable of', 'abuse'], ['pain and suffering', 'causes', 'abuse']]	[['cannabis', 'usedfor', 'abuse']]	[['pain', '_capableof', 'people']]
1343	Economic sanction should be in place because of some stubborn countries	Sanctioning should be in place because of some conflict demanding countries.	support	[['sanctioning', 'created by', 'economic sanction'], ['economic sanction', 'desires', 'be in place'], ['be in place', 'created by', 'conflict demanding countries'], ['conflict demanding countries', 'has property', 'uncooperative and ignorant'], ['uncooperative and ignorant', 'created by', 'those stubborn countries']]	[['sanctioning', 'isa', '', '_usedfor', 'punishing'], ['punishing', 'hasprerequisite', 'some stubborn countries']]	[['sanction', 'isa', 'retribution'], ['retribution', '_causes', 'killing'], ['killing', '_usedfor', 'fighting_enemy'], ['fighting_enemy', 'causes', 'conflict']]
1221	Assisted suicide allows people to end their lives on their own terms.	Assisted suicide allows someone the time to say all their goodbyes and give closure to loved ones.	support	[['assisted suicide', 'capable of', 'autonomy'], ['autonomy', 'has context', 'own terms'], ['assisted suicide', 'has subevent', 'give closure']]	[['assisted suicide', 'isa', 'suicide'], ['suicide', 'causesdesire', 'commit suicide'], ['commit suicide', 'haslastsubevent', 'give closure']]	[['end', '_capableof', 'life'], ['life', '_partof', 'death'], ['death', 'createdby', 'suicide']]
579	religion has no place in school	if people want to adhere to religion in school, they should be allowed to do so.	counter	[['school', 'made of', 'students'], ['students', 'part of', 'diversity'], ['diversity', 'has context', 'religion'], ['religion', 'is a', 'allowed']]	[['school', '_atlocation', 'school cafeteria'], ['school cafeteria', 'usedfor', 'school cafeteria'], ['school cafeteria', 'receivesaction', 'allowed']]	[['school', '_atlocation', 'science'], ['science', 'distinctfrom', 'religion']]
99	By putting the inmates of guantanamo bay on the streets, we are putting thousands of innocent people at risk.	People's lives will be at stake if we release all these inmates.	support	"[['guantanamo bay', 'used for', 'military prison'], ['military prison', 'used for', 'inmates'], ['inmates', 'has subevent', 'on the streets'], ['on the streets', 'synonym of', 'release'], ['release', 'capable of', 'danger'], ['danger', 'has context', ""people's lives""], [""people's lives"", 'part of', 'people at risk']]"	[['guantanamo bay', 'isa', 'prison'], ['prison', 'usedfor', 'people at risk']]	[['innocent', '_hasproperty', 'children'], ['children', '_hasa', 'jews'], ['jews', 'language', 'english_language'], ['english_language', '_language', 'lives']]
44	Entrapment shouldn't be legal, because it creates false situations and isn't fair.	Entrapment tricks criminals to behave a certain way.	support	[['tricks criminals', 'causes', 'behave certain way'], ['behave certain way', 'causes', 'breaking the law'], ['breaking the law', 'not created by', 'honest police work'], ['honest police work', 'not part of', 'false situations'], ['false situations', 'not has property', 'fair'], ['fair', 'not used for', 'entrapment'], ['dishonesty', 'part of', 'tricks criminals'], ['entrapment', 'has property', 'illegal']]	[['tricks criminals', '_capableof', 'police'], ['police', 'hasproperty', 'illegal']]	[['false', '_distinctfrom', 'fact'], ['fact', 'hascontext', 'legal'], ['legal', '_hascontext', 'entrapment']]
2318	Missionaries are the only ones benefiting from their work.	The goal of missionaries is to impose their religious beliefs.	support	[['missionaries', 'used for', 'religious beliefs'], ['religious beliefs', 'receives action', 'impose'], ['religious beliefs', 'used for', 'work']]	[['missionaries', 'capableof', 'work']]	-1
573	It is not right to deny a thing that has proven to be true.	The proven fact must be accepted without denial.	support	[['proven fact', 'desires', 'be accepted'], ['proven fact', 'not capable of', 'denial'], ['proven fact', 'is a', 'true'], ['denial', 'is not a', 'right']]	[['proven fact', '_isa', 'fact'], ['fact', 'distinctfrom', '', '_distinctfrom', 'right']]	[['proven', '_distinctfrom', 'theory'], ['theory', 'distinctfrom', 'fact']]
1097	Journalist will be more honest about facts when they are subsidized.	Subsidy for journalist will allow for honest fact since they do not need to be contributed for again.	support	[['journalist', 'desires', 'truth'], ['truth', 'synonym of', 'honest'], ['truth', 'desires', 'subsidized']]	[['journalist', 'isa', 'person'], ['person', 'notdesires', 'subsidized']]	[['journalist', 'isa', 'person'], ['person', '_isa', 'liar'], ['liar', '_distinctfrom', 'honest']]
396	People who created budget deficits should be the ones to fix it, not hard working people with less money.	Rich people are not the only ones who need to do their part in paying for the benefits of the society they live in.	counter	[['budget deficits', 'created by', 'government spending'], ['benefits', 'used for', 'society'], ['budget deficits', 'desires', 'money'], ['society', 'part of', 'hard working people'], ['taxes', 'created by', 'rich people'], ['government spending', 'used for', 'benefits'], ['taxes', 'created by', 'hard working people'], ['money', 'created by', 'taxes']]	[['budget deficits', '_causes', 'fighting inflation'], ['fighting inflation', 'hasprerequisite', 'taxes']]	[['budget', '_hasa', 'money'], ['money', 'usedfor', 'rich']]
79	Everyone is free to choose their religious beliefs.	If one chooses to blindly worship the wrong entity it can lead to bad consequences.	counter	[['damnation', 'is a', 'bad consequences'], ['blindly worship', 'created by', 'religious beliefs'], ['religious beliefs', 'has context', 'wrong entity'], ['wrong entity', 'created by', 'free to choose'], ['free to choose', 'causes', 'damnation']]	[['damnation', '_isa', 'damnation']]	[['religious', '_hascontext', 'fellowship'], ['fellowship', '_desires', 'person'], ['person', 'notdesires', 'bad']]
1437	Creating awareness of the LGBT community, decreases discrimination.	Discrimination against LGBT people exists because of misconceptions adopted in ignorance of universal truths.	support	[['creating awareness', 'causes', 'knowledge'], ['knowledge', 'causes', 'decreases discrimination'], ['discrimination', 'created by', 'ignorance'], ['ignorance', 'antonym of', 'knowledge']]	[['creating awareness', '_usedfor', 'reading news'], ['reading news', 'hasprerequisite', 'knowledge']]	[['awareness', '_causes', 'reading_newspaper'], ['reading_newspaper', 'causes', 'outrage'], ['outrage', 'instanceof', 'lgbt']]
1057	When we subsidize stay at home Dads they tend to be more productive	Stay at home Dad tend to be lazy	counter	[['dads', 'capable of', 'hardworking'], ['hardworking', 'created by', 'stay at home'], ['stay at home', 'not capable of', 'productive'], ['productive', 'created by', 'lazy']]	[['dads', 'hasproperty', 'lazy']]	[['productive', '_distinctfrom', 'lazy']]
20	Women and Men should have the same opportunities, including combat.	A soldier is a soldier.	support	[['women and men', 'used for', 'soldier'], ['soldier', 'desires', 'same opportunities'], ['same opportunities', 'at location', 'military'], ['military', 'not made of', 'a soldier'], ['a soldier', 'antonym of', 'many soldiers'], ['many soldiers', 'desires', 'diverse applicants'], ['diverse applicants', 'capable of', 'combat']]	[['women and men', 'isa', 'soldiers'], ['soldiers', 'atlocation', 'battle'], ['battle', 'usedfor', 'combat']]	[['women', '_distinctfrom', 'man'], ['man', 'isa', 'person'], ['person', '_isa', 'soldier']]
2303	There's no oversight to prevent private military companies from committing atrocities.	God can see all crimes and will not be afraid to hold people accountable.	counter	[['god', 'capable of', 'oversight'], ['hold people accountable', 'used for', 'private military companies'], ['oversight', 'used for', 'preventing atrocities'], ['oversight', 'used for', 'hold people accountable']]	[['god', 'capableof', 'hold people accountable']]	[['military', 'atlocation', 'war'], ['war', '_atlocation', 'people']]
9	The idea of marriage can be changed, without abandoning marriage.	Marriage needs to evolve.	support	[['marriage', 'capable of', 'significant variations'], ['significant variations', 'has property', 'inclusive of nonbinaries'], ['inclusive of nonbinaries', 'has subevent', 'evolve'], ['evolve', 'used for', 'idea of marriage'], ['idea of marriage', 'capable of', 'contemporary relevance'], ['contemporary relevance', 'not causes', 'abandoning marriage'], ['abandoning marriage', 'is not a', 'need']]	[['marriage', '_causes', 'loving else'], ['loving else', 'hasprerequisite', 'need']]	[['idea', '_causes', 'thinking'], ['thinking', '_hassubevent', 'buying_presents'], ['buying_presents', 'usedfor', 'marriage']]
2180	Companies should be allowed to decide workers' pay.	Companies must be allowed autonomy of wage in a free market economy.	support	"[['free market economy', 'has property', 'compete for workers'], ['compete for workers', 'created by', 'attractive wages'], ['attractive wages', 'created by', 'autonomy of wages'], ['compete for workers', 'at location', 'companies'], ['autonomy of wages', 'synonym of', ""decide workers' pay""]]"	"[['free market economy', '_motivatedbygoal', 'fight inflation'], ['fight inflation', 'hasprerequisite', ""decide workers' pay""]]"	[['companies', 'capableof', 'thank_customers'], ['thank_customers', '_capableof', 'cashiers'], ['cashiers', 'atlocation', 'shop'], ['shop', '_atlocation', 'money'], ['money', '_isa', 'salary'], ['salary', '_similarto', 'wage']]
1351	Wikipedia is a source of Information for everyone	Wikipedia provides all source of information and knowledge needed for everyone	support	[['wikipedia', 'capable of', 'helping people'], ['source of information', 'part of', 'helping people'], ['source of information', 'has context', 'needed for everyone']]	[['wikipedia', 'receivesaction', 'needed for everyone']]	[['wikipedia', 'isa', 'encyclopedia'], ['encyclopedia', '_atlocation', 'knowledge']]
716	Payday loans should be banned because they don't hold the standard that institutions for middle class people hold.	Some believe that payday loans should be banned and they are correct because these loans don't hold the same standards as the loans middle class people get.	support	[['payday loans', 'not capable of', 'same standards'], ['payday loans', 'capable of', 'predatory lending'], ['predatory lending', 'desires', 'banned'], ['middle class people', 'synonym of', 'average person'], ['average person', 'not desires', 'payday loans']]	[['payday loans', '_isa', 'payday loans']]	[['institutions', '_isa', 'banks'], ['banks', 'hasa', 'customers'], ['customers', 'capableof', 'spend_money'], ['spend_money', '_causesdesire', 'payday']]
648	Students should be able to express themselves, even including expressions of faith.In	Some people need prayer at any given moment.	support	[['some people', 'desires', 'prayer'], ['prayer', 'is a', 'express themselves'], ['students', 'part of', 'some people']]	[['some people', '_hasa', 'some people']]	[['students', 'desires', 'learn'], ['learn', '_usedfor', 'church'], ['church', '_atlocation', 'prayer']]
1771	this church traps members in their organization.	some members feel this church is a place of peace.	counter	[['place of peace', 'not capable of', 'traps members'], ['members', 'desires', 'place of peace'], ['church', 'is a', 'place of peace']]	[['place of peace', '_isa', 'place of peace']]	[['church', 'madeof', 'members']]
2299	School uniforms are better than regular clothing.	School uniforms are less likely to cause conflict.	support	[['school uniforms', 'causes', 'equality'], ['equality', 'not causes', 'conflict'], ['regular clothing', 'not used for', 'equality']]	[['school uniforms', 'atlocation', 'school'], ['school', 'usedfor', 'equality']]	[['uniforms', '_usedfor', 'hat'], ['hat', 'atlocation', 'closet'], ['closet', 'atlocation', 'school']]
9	Women shouldn't be prohibited in combat	Opportunities should be universal	support	[['opportunities', 'created by', 'the military'], ['the military', 'has subevent', 'combat'], ['women', 'desires', 'opportunities'], ['combat', 'has property', 'universal'], ['universal', 'desires', 'women and men'], ['women and men', 'desires', 'equal treatment'], ['equal treatment', 'not desires', 'prohibited']]	[['opportunities', 'receivesaction', 'prohibited']]	[['combat', '_usedfor', 'soldier'], ['soldier', 'isa', 'person'], ['person', 'isa', 'philosophy'], ['philosophy', '_hascontext', 'universal']]
302	Cannot determine one's true value by doing intelligence tests with one method, because some are very intelligent.	Real value can be estimated through a system of intelligence tests with one method if people are very intelligent.	counter	[['intelligence tests', 'capable of', 'testing all subjects'], ['testing all subjects', 'desires', 'overall knowledge'], ['overall knowledge', 'causes', 'true value'], ['true value', 'capable of', 'very intelligent']]	[['intelligence tests', '_usedfor', 'answering questions'], ['answering questions', 'hasprerequisite', 'intelligence'], ['intelligence', 'hasproperty', 'very intelligent']]	[['intelligence', 'distinctfrom', 'stupidity'], ['stupidity', 'atlocation', 'people']]
140	Guantanamo Bay is too physically close to America, which is a danger to Americans.	If a terrorist escapes, they could wreak havoc in an American city or injure someone trying to find a place to hide.	support	[['guantanamo bay', 'used for', 'terrorist'], ['terrorist', 'at location', 'close to america'], ['close to america', 'is a', 'danger'], ['danger', 'at location', 'american city']]	[['guantanamo bay', 'atlocation', 'american city']]	[['bay', 'atlocation', 'water'], ['water', '_madeof', 'person'], ['person', '_isa', 'terrorist']]
1963	Gender neutral language increases equality.	Gender neutrality erases the identity of individuals	counter	[['gender neutral language', 'part of', 'gender neutrality'], ['gender neutrality', 'capable of', 'erases the identity'], ['erases the identity', 'not used for', 'equality']]	[['gender neutral language', '_atlocation', 'equality']]	[['gender', '_hascontext', 'cis'], ['cis', 'hascontext', 'chemistry'], ['chemistry', '_hascontext', 'neutrality']]
145	Targeted killing is necessary to kill terrorists.	Terrorists that are in need of killing may be eliminated in many ways, but the best is targeted killing.	support	[['targeted killing', 'has context', 'murder'], ['murder', 'used for', 'kill terrorists'], ['terrorists', 'has context', 'bad'], ['targeted killing', 'has context', 'not bad'], ['bad', 'antonym of', 'not bad']]	[['targeted killing', 'isa', 'killing'], ['killing', 'hasproperty', 'bad'], ['bad', 'nothasproperty', 'not bad']]	[['kill', '_capableof', 'bomb'], ['bomb', 'atlocation', 'afghanistan'], ['afghanistan', '_atlocation', 'terrorists']]
1363	Child acting harms children.	Many child actors are abused.	support	[['child acting', 'capable of', 'negative effects'], ['negative effects', 'causes', 'harms children'], ['child actors', 'has subevent', 'abused'], ['abused', 'is a', 'negative effects']]	[['child acting', 'hasa', 'negative effects']]	[['acting', 'hascontext', 'legal'], ['legal', '_hascontext', 'child']]
1197	Stay at home parents finds life to not be easy	Stay at home parents should be assisted so life will be easy for them	support	[['at home parents', 'has context', 'hard work'], ['hard work', 'not has context', 'easy'], ['not easy', 'desires', 'assisted'], ['not easy', 'antonym of', 'easy']]	[['at home parents', 'hasproperty', '', '_distinctfrom', 'difficult _similarto easy']]	[['easy', 'distinctfrom', 'difficult'], ['difficult', 'hascontext', 'person'], ['person', 'desires', 'parents']]
134	The olympics are full of corruption.	Far too many Olympians have been abusing drugs.	support	[['olympics', 'has property', 'athletes'], ['athletes', 'synonym of', 'olympians'], ['olympians', 'capable of', 'abusing drugs'], ['abusing drugs', 'capable of', 'corruption']]	[['olympics', '_usedfor', 'competing against'], ['competing against', 'causes', 'bribery']]	-1
1649	Social media can allow long distance family members to stay connected.	social media doesn't take the place of being together	counter	[['social media', 'is not a', 'replacement'], ['replacement', 'has context', 'being together'], ['being together', 'is a', 'important'], ['being together', 'not used for', 'long distance'], ['replacement', 'not capable of', 'stay connected']]	[['social media', '_hascontext', 'stay connected']]	[['family', 'isa', 'people'], ['people', 'desires', 'social']]
27	Marriage does nothing more than living together and is unneeded in this day and age.	Residing together is basically the same thing as being married.	support	[['residing together', 'synonym of', 'being married'], ['being married', 'is a', 'unneeded'], ['living together', 'synonym of', 'residing together']]	[['residing together', '_isa', 'residing together']]	[['marriage', '_atlocation', 'companionship'], ['companionship', '_usedfor', 'dog'], ['dog', 'isa', 'thing']]
88	Keeping the world safe from terrorists is the reason guantanamo exists.	Guantanamo keeps terrorists threats to a minimum.	support	[['guantanamo', 'is a', 'prison'], ['prison', 'capable of', 'keep world safe'], ['terrorists', 'at location', 'prison'], ['prison', 'capable of', 'protection'], ['world', 'desires', 'protection'], ['protection', 'synonym of', 'keep world safe'], ['terrorists', 'capable of', 'threats']]	[['guantanamo', 'isa', '', '_atlocation', 'threats']]	[['reason', '_capableof', 'humans'], ['humans', 'atlocation', 'country'], ['country', '_isa', 'afghanistan'], ['afghanistan', '_atlocation', 'terrorists']]
645	Public defenders should be used automatically, since that's what criminals usually use anyway.	Criminal need defenses	support	[['public defenders', 'used for', 'criminal'], ['criminal', 'part of', 'people'], ['people', 'desires', 'defenses'], ['defenses', 'used for', 'criminals']]	[['public defenders', '_hasa', 'criminals']]	[['public', 'distinctfrom', 'private'], ['private', 'distinctfrom', 'known'], ['known', '_desires', 'person'], ['person', '_isa', 'criminal']]
363	If a prison camp is set up in the United States it can be fully managed by US laws.	It is doubtful whether a prison camp can be fully managed by US laws even if it is in the United States.	counter	[['prison camp', 'desires', 'controls'], ['controls', 'part of', 'fully managed'], ['fully managed', 'not at location', 'america'], ['america', 'synonym of', 'united states'], ['america', 'has property', 'american laws'], ['american laws', 'synonym of', 'us laws'], ['prison camp', 'not has context', 'american laws']]	[['prison camp', '_atlocation', 'prisoner'], ['prisoner', 'hascontext', 'american laws']]	[['prison', 'isa', 'building'], ['building', '_atlocation', 'person'], ['person', 'notdesires', 'laws']]
1181	Acting puts too much pressure on children.	Acting is a high-demand profession, and children are not mature enough to handle it.	support	[['acting', 'has property', 'skilled profession'], ['skilled profession', 'part of', 'high-demand profession'], ['high-demand profession', 'not used for', 'children'], ['children', 'part of', 'minors']]	[]	[['acting', 'causesdesire', 'pretend'], ['pretend', '_desires', 'children']]
986	When journalists get financial support, they feel an obligation to report the truth from reliable sources.	If you know you're receiving money, then you feel like you have to earn that money by reporting the truth.	support	[['financial support', 'capable of', 'indebtedness'], ['indebtedness', 'part of', 'obligation'], ['receiving money', 'capable of', 'obligation'], ['receiving money', 'capable of', 'earn that money']]	[['financial support', '_motivatedbygoal', 'buy products'], ['buy products', 'hasprerequisite', 'earn that money']]	[['journalists', 'capableof', 'report_crime'], ['report_crime', '_capableof', 'people'], ['people', 'atlocation', 'ground'], ['ground', '_atlocation', 'money']]
